開始日時,分,カテゴリー,コメント
2022-04-01 06:49:36,6.1,ストレッチ,
2022-04-01 12:31:23,15.1,筋トレ,
2022-04-01 18:32:54,18.4,ウォーキング,途中で蕁麻疹が出た
2022-04-02 06:21:42,9.6,ストレッチ,
2022-04-02 12:16:24,4.2,ストレッチ,昨日の筋肉痛が残っている
2022-04-02 13:01:12,123.2,ウォーキング,
2022-04-03 07:02:11,7.4,ストレッチ,
2022-04-03 18:14:22,32.1,ウォーキング,
2022-04-04 06:33:12,6.8,ストレッチ,
2022-04-04 19:10:45,28.5,筋トレ,
2022-04-05 06:19:36,681.2,ストレッチ,
2022-04-05 19:21:00,41.2,筋トレ,
2022-04-06 06:10:05,5.5,ストレッチ,
2022-04-06 19:00:00,35.0,ウォーキング,
2022-04-07 06:15:12,7.2,ストレッチ,
2022-04-07 17:47:48,0.5,筋トレ,
2022-04-08 06:24:12,8.1,ストレッチ,
2022-04-08 19:15:32,44.2,筋トレ,
2022-04-09 07:01:11,6.9,ストレッチ,
2022-04-09 18:09:56,51.0,ウォーキング,
2022-04-11 06:23:54,123.4,ストレッチ,
2022-04-11 19:20:11,33.2,筋トレ,
2022-04-13 06:41:36,4.0,ストレッチ,
2022-04-13 19:12:12,48.6,ウォーキング,
2022-04-14 06:35:11,5.9,ストレッチ,
2022-04-14 19:00:02,63.4,筋トレ,
2022-04-15 06:28:41,10.2,ストレッチ,
2022-04-15 19:14:18,38.8,ウォーキング,
2022-04-16 06:12:05,6.7,ストレッチ,
2022-04-16 18:08:36,113.1,ウォーキング,
2022-04-17 06:35:12,4.4,ストレッチ,
2022-04-17 19:13:52,29.8,筋トレ,
2022-04-18 06:18:05,7.0,ストレッチ,
2022-04-18 19:10:00,31.2,ウォーキング,
2022-04-19 06:22:22,6.3,ストレッチ,
2022-04-19 19:00:00,36.5,筋トレ,
2022-04-20 06:31:31,8.8,ストレッチ,
2022-04-20 19:22:45,57.1,ウォーキング,
2022-04-21 06:25:55,5.1,ストレッチ,
2022-04-21 18:55:10,42.7,筋トレ,
2022-04-22 06:20:05,6.0,ストレッチ,
2022-04-22 19:03:33,75.0,ウォーキング,
2022-04-23 07:02:30,7.8,ストレッチ,
2022-04-23 18:57:20,34.0,筋トレ,
2022-04-24 06:30:00,6.4,ストレッチ,
2022-04-24 18:45:00,80.2,ウォーキング,
2022-04-25 06:15:00,5.8,ストレッチ,
2022-04-25 19:10:00,39.9,筋トレ,
2022-04-26 06:18:18,7.1,ストレッチ,
2022-04-26 18:01:32,0.3,ウォーキング,
2022-04-27 06:26:00,6.5,ストレッチ,
2022-04-27 19:00:00,47.5,筋トレ,
2022-04-28 06:12:12,8.0,ストレッチ,
2022-04-28 18:52:00,49.6,ウォーキング,
2022-04-29 06:07:06,10.3,ストレッチ,
2022-04-29 08:24:57,121.6,ウォーキング,
2022-04-30 06:17:06,7.6,ストレッチ,
2022-04-30 19:11:11,30.5,筋トレ,
2022-04-10 18:00:00,,ウォーキング,
2022-04-12 18:00:00,25.0,,
2022-04-18 07:00:00,15.0,,
2022-04-27 07:30:00,22.0,,
