,開始日時,分,カテゴリー,コメント
0,2022-04-01 06:49:36,6.1,ストレッチ,
1,2022-04-01 12:31:23,15.1,筋トレ,
2,2022-04-01 18:32:54,18.4,ウォーキング,途中で蕁麻疹が出た
3,2022-04-02 06:21:42,9.6,ストレッチ,
4,2022-04-02 12:16:24,4.2,ストレッチ,昨日の筋肉痛が残っている
5,2022-04-02 18:05:00,20.0,筋トレ,
6,2022-04-02 19:10:00,32.4,ウォーキング,
7,2022-04-03 06:15:00,10.4,ストレッチ,
8,2022-04-03 12:10:00,17.8,筋トレ,
9,2022-04-03 18:20:00,25.6,ウォーキング,
10,2022-04-04 06:30:00,11.7,ストレッチ,
11,2022-04-04 12:30:00,29.3,筋トレ,
12,2022-04-05 06:40:00,7.5,ストレッチ,
13,2022-04-06 06:10:00,8.4,ストレッチ,
14,2022-04-06 12:10:00,10.2,筋トレ,
15,2022-04-06 18:20:00,48.9,ウォーキング,
16,2022-04-07 06:10:00,6.5,ストレッチ,
17,2022-04-07 12:10:00,39.0,筋トレ,
18,2022-04-08 06:20:00,5.2,ストレッチ,
19,2022-04-08 12:10:00,8.5,筋トレ,
20,2022-04-09 06:25:00,4.5,ストレッチ,
21,2022-04-09 18:20:00,61.6,ウォーキング,
22,2022-04-10 07:00:00,3.0,ストレッチ,寝坊した
23,2022-04-10 12:00:00,20.0,筋トレ,
24,2022-04-11 06:15:00,6.5,ストレッチ,
25,2022-04-11 12:15:00,18.0,筋トレ,
26,2022-04-12 06:15:00,4.0,ストレッチ,
27,2022-04-12 18:15:00,22.0,ウォーキング,
28,2022-04-13 06:20:00,5.0,ストレッチ,
29,2022-04-13 12:20:00,14.0,筋トレ,
30,2022-04-14 06:00:00,8.0,ストレッチ,
31,2022-04-14 18:30:00,40.0,ウォーキング,
32,2022-04-15 06:05:00,7.0,ストレッチ,
33,2022-04-15 12:30:00,10.0,筋トレ,
34,2022-04-15 18:30:00,38.8,ウォーキング,
35,2022-04-16 06:10:00,9.0,ストレッチ,
36,2022-04-16 18:40:00,50.0,ウォーキング,
37,2022-04-17 06:05:00,4.2,ストレッチ,
38,2022-04-17 12:10:00,16.0,筋トレ,
39,2022-04-18 06:10:00,6.3,ストレッチ,
40,2022-04-18 18:20:00,32.3,ウォーキング,
41,2022-04-19 06:15:00,4.8,ストレッチ,
42,2022-04-19 12:10:00,15.2,筋トレ,
43,2022-04-20 06:05:00,5.5,ストレッチ,
44,2022-04-20 18:20:00,20.5,ウォーキング,
45,2022-04-21 06:10:00,6.2,ストレッチ,
46,2022-04-21 12:30:00,8.0,筋トレ,
47,2022-04-21 18:30:00,54.2,ウォーキング,
48,2022-04-22 06:10:00,4.2,ストレッチ,
49,2022-04-22 12:10:00,18.0,筋トレ,
50,2022-04-23 06:10:00,3.8,ストレッチ,
51,2022-04-23 12:00:00,15.0,筋トレ,
52,2022-04-24 07:10:00,4.9,ストレッチ,
53,2022-04-25 06:10:00,6.5,ストレッチ,
54,2022-04-25 12:10:00,9.0,筋トレ,
55,2022-04-25 18:20:00,46.0,ウォーキング,
56,2022-04-26 06:10:00,5.0,ストレッチ,
57,2022-04-26 18:20:00,65.5,ウォーキング,
58,2022-04-27 06:10:00,13.5,ストレッチ,
59,2022-04-27 12:10:00,32.9,筋トレ,
60,2022-04-28 06:10:00,5.0,ストレッチ,
61,2022-04-28 12:10:00,36.7,筋トレ,
62,2022-04-28 18:20:00,15.0,ウォーキング,
63,2022-04-29 06:10:00,10.3,ストレッチ,
64,2022-04-29 18:20:00,121.6,ウォーキング,
65,2022-04-30 06:10:00,7.6,ストレッチ,
