日付,合計(分),ストレッチ,筋トレ,ウォーキング,デイリー目標OK
2022-04-01,39.599999999999994,6.1,15.1,18.4,False
2022-04-02,66.2,13.8,20.0,32.4,True
2022-04-03,53.8,10.4,17.8,25.6,True
2022-04-04,41.0,11.7,29.3,0.0,False
2022-04-05,7.5,7.5,0.0,0.0,False
2022-04-06,67.5,8.4,10.2,48.9,True
2022-04-07,45.5,6.5,39.0,0.0,True
2022-04-08,13.7,5.2,8.5,0.0,False
2022-04-09,66.1,4.5,0.0,61.6,False
2022-04-10,23.0,3.0,20.0,0.0,False
2022-04-11,24.5,6.5,18.0,0.0,False
2022-04-12,26.0,4.0,0.0,22.0,False
2022-04-13,19.0,5.0,14.0,0.0,False
2022-04-14,48.0,8.0,0.0,40.0,True
2022-04-15,55.8,7.0,10.0,38.8,True
2022-04-16,59.0,9.0,0.0,50.0,True
2022-04-17,20.2,4.2,16.0,0.0,False
2022-04-18,38.599999999999994,6.3,0.0,32.3,False
2022-04-19,20.0,4.8,15.2,0.0,False
2022-04-20,26.0,5.5,0.0,20.5,False
2022-04-21,68.4,6.2,8.0,54.2,True
2022-04-22,22.2,4.2,18.0,0.0,False
2022-04-23,18.8,3.8,15.0,0.0,False
2022-04-24,4.9,4.9,0.0,0.0,False
2022-04-25,61.5,6.5,9.0,46.0,True
2022-04-26,70.5,5.0,0.0,65.5,True
2022-04-27,46.4,13.5,32.9,0.0,True
2022-04-28,56.7,5.0,36.7,15.0,True
2022-04-29,131.9,10.3,0.0,121.6,True
2022-04-30,7.6,7.6,0.0,0.0,False
