日付,種別,カロリー,スキップ,備考
2022-03-01 07:15:18,朝食,180.0,False,
2022-03-01 12:22:00,昼食,1.0,False,
2022-03-01 16:15:00,間食,81.0,False,
2022-03-01 20:23:00,夕食,450.0,False,
2022-03-02 07:15:18,朝食,220.0,False,
2022-03-02 12:22:00,昼食,220.0,False,会議で遅め
2022-03-02 20:23:00,夕食,480.0,False,
2022-03-03 07:15:18,朝食,260.0,False,
2022-03-03 12:22:00,昼食,280.0,False,
2022-03-03 16:15:00,間食,90.0,False,
2022-03-03 20:23:00,夕食,500.0,False,
2022-03-04 07:15:18,朝食,300.0,False,
2022-03-04 12:22:00,昼食,320.0,False,
2022-03-04 16:15:00,間食,95.0,False,
2022-03-04 20:23:00,夕食,520.0,False,
2022-03-05 07:15:18,朝食,320.0,False,
2022-03-05 12:22:00,昼食,360.0,False,
2022-03-05 20:23:00,夕食,540.0,False,
2022-03-06 12:22:00,昼食,400.0,False,
2022-03-06 16:15:00,間食,100.0,False,
2022-03-06 20:23:00,夕食,560.0,False,
2022-03-07 07:15:18,朝食,340.0,False,
2022-03-07 12:22:00,昼食,400.0,False,
2022-03-07 16:15:00,間食,100.0,False,
2022-03-07 20:23:00,夕食,564.0,False,外食
2022-03-08 07:15:18,朝食,340.0,False,
2022-03-08 20:23:00,夕食,580.0,False,
2022-03-09 07:15:18,朝食,360.0,False,
2022-03-09 12:22:00,昼食,430.0,False,
2022-03-09 16:15:00,間食,100.0,False,
2022-03-09 20:23:00,夕食,600.0,False,
2022-03-10 07:15:18,朝食,380.0,False,
2022-03-10 12:22:00,昼食,470.0,False,
2022-03-10 16:15:00,間食,110.0,False,
2022-03-10 20:23:00,夕食,620.0,False,
2022-03-11 07:15:18,朝食,400.0,False,
2022-03-11 12:22:00,昼食,520.0,False,
2022-03-12 07:15:18,朝食,420.0,False,
2022-03-12 12:22:00,昼食,560.0,False,
2022-03-12 16:15:00,間食,120.0,False,
2022-03-12 20:23:00,夕食,628.0,False,
2022-03-13 07:15:18,朝食,440.0,False,
2022-03-13 12:22:00,昼食,579.0,False,
2022-03-13 16:15:00,間食,130.0,False,
2022-03-13 20:23:00,夕食,632.0,False,
2022-03-14 07:15:18,朝食,,False,寝坊
2022-03-14 12:22:00,昼食,580.0,False,
2022-03-14 20:23:00,夕食,632.0,False,
2022-03-15 07:15:18,朝食,460.0,False,
2022-03-15 12:22:00,昼食,620.0,False,
2022-03-15 16:15:00,間食,140.0,False,
2022-03-15 20:23:00,夕食,650.0,False,
2022-03-16 07:15:18,朝食,480.0,False,
2022-03-16 12:22:00,昼食,660.0,False,
2022-03-16 16:15:00,間食,160.0,False,
2022-03-16 20:23:00,夕食,680.0,False,
2022-03-17 07:15:18,朝食,480.0,False,
2022-03-17 12:22:00,昼食,700.0,False,
2022-03-17 20:23:00,夕食,720.0,False,
2022-03-18 07:15:18,朝食,500.0,False,
2022-03-18 12:22:00,昼食,,False,急ぎで軽食
2022-03-18 16:15:00,間食,160.0,False,
2022-03-18 20:23:00,夕食,760.0,False,
2022-03-19 07:15:18,朝食,520.0,False,
2022-03-19 12:22:00,昼食,740.0,False,
2022-03-19 16:15:00,間食,160.0,False,
2022-03-19 20:23:00,夕食,800.0,False,
2022-03-20 12:22:00,昼食,751.0,False,
2022-03-20 20:23:00,夕食,835.0,False,
2022-03-21 07:15:18,朝食,540.0,False,
2022-03-21 16:15:00,間食,170.0,False,
2022-03-21 20:23:00,夕食,835.0,False,
2022-03-22 07:15:18,朝食,540.0,False,
2022-03-22 12:22:00,昼食,752.0,False,
2022-03-22 16:15:00,間食,180.0,False,
2022-03-22 20:23:00,夕食,840.0,False,
2022-03-23 07:15:18,朝食,540.0,False,
2022-03-23 12:22:00,昼食,780.0,False,
2022-03-23 20:23:00,夕食,860.0,False,
2022-03-24 07:15:18,朝食,540.0,False,
2022-03-24 12:22:00,昼食,820.0,False,
2022-03-24 16:15:00,間食,180.0,False,
2022-03-24 20:23:00,夕食,900.0,False,
2022-03-25 07:15:18,朝食,540.0,False,
2022-03-25 12:22:00,昼食,860.0,False,
2022-03-25 16:15:00,間食,180.0,False,
2022-03-25 20:23:00,夕食,940.0,False,
2022-03-26 07:15:18,朝食,540.0,False,
2022-03-26 12:22:00,昼食,900.0,False,
2022-03-26 20:23:00,夕食,,False,飲み会
2022-03-27 07:15:18,朝食,540.0,False,
2022-03-27 12:22:00,昼食,940.0,False,
2022-03-27 16:15:00,間食,180.0,False,
2022-03-27 20:23:00,夕食,980.0,False,
2022-03-28 07:15:18,朝食,540.0,False,
2022-03-28 12:22:00,昼食,1000.0,False,
2022-03-28 16:15:00,間食,180.0,False,
2022-03-28 20:23:00,夕食,1000.0,False,
2022-03-29 07:15:18,朝食,540.0,False,
2022-03-29 12:22:00,昼食,620.0,False,
2022-03-29 20:23:00,夕食,1053.0,False,
2022-03-30 07:15:18,朝食,540.0,False,
2022-03-30 12:22:00,昼食,540.0,False,
2022-03-30 16:15:00,間食,180.0,False,
2022-03-30 20:23:00,夕食,700.0,False,
2022-03-31 07:15:18,朝食,540.0,False,
2022-03-31 12:22:00,昼食,700.0,False,
2022-03-31 16:15:00,間食,183.0,False,
2022-03-31 20:23:00,夕食,610.0,False,
