日付,合計カロリー,スキップ件数,朝食,昼食,間食,夕食,デイリー目標OK
2022-03-01,712.0,0,180.0,1.0,81.0,450.0,False
2022-03-02,920.0,0,220.0,220.0,0.0,480.0,False
2022-03-03,1130.0,0,260.0,280.0,90.0,500.0,False
2022-03-04,1235.0,0,300.0,320.0,95.0,520.0,False
2022-03-05,1220.0,0,320.0,360.0,0.0,540.0,False
2022-03-06,1060.0,0,0.0,400.0,100.0,560.0,False
2022-03-07,1404.0,0,340.0,400.0,100.0,564.0,False
2022-03-08,920.0,0,340.0,0.0,0.0,580.0,False
2022-03-09,1490.0,0,360.0,430.0,100.0,600.0,False
2022-03-10,1580.0,0,380.0,470.0,110.0,620.0,False
2022-03-11,920.0,0,400.0,520.0,0.0,0.0,False
2022-03-12,1728.0,0,420.0,560.0,120.0,628.0,True
2022-03-13,1781.0,0,440.0,579.0,130.0,632.0,True
2022-03-14,1212.0,0,0.0,580.0,0.0,632.0,False
2022-03-15,1870.0,0,460.0,620.0,140.0,650.0,True
2022-03-16,1980.0,0,480.0,660.0,160.0,680.0,True
2022-03-17,1900.0,0,480.0,700.0,0.0,720.0,True
2022-03-18,1420.0,0,500.0,0.0,160.0,760.0,False
2022-03-19,2220.0,0,520.0,740.0,160.0,800.0,False
2022-03-20,1586.0,0,0.0,751.0,0.0,835.0,False
2022-03-21,1545.0,0,540.0,0.0,170.0,835.0,False
2022-03-22,2312.0,0,540.0,752.0,180.0,840.0,False
2022-03-23,2180.0,0,540.0,780.0,0.0,860.0,False
2022-03-24,2440.0,0,540.0,820.0,180.0,900.0,False
2022-03-25,2520.0,0,540.0,860.0,180.0,940.0,False
2022-03-26,1440.0,0,540.0,900.0,0.0,0.0,False
2022-03-27,2640.0,0,540.0,940.0,180.0,980.0,False
2022-03-28,2720.0,0,540.0,1000.0,180.0,1000.0,False
2022-03-29,2213.0,0,540.0,620.0,0.0,1053.0,False
2022-03-30,1960.0,0,540.0,540.0,180.0,700.0,True
2022-03-31,2033.0,0,540.0,700.0,183.0,610.0,True
