date,site,product,defect,production,defects,ppm,危険ランク
2026/06/05,MELMB,LCM-A,点灯不良,9000,10.0,1111.1,s級モンスター
2026/06/03,WSE,LCM-B,異物混入,7000,7.0,1000.0,s級モンスター
2026/06/02,MELMB,LCM-A,点灯不良,11000,8.0,727.3,a級モンスター
2026/06/06,MELAC,LCM-E,はんだ不良,14000,9.0,642.9,a級モンスター
2026/06/01,WSE,LCM-B,外観不良,8000,5.0,625.0,a級モンスター
2026/06/04,GSE,LCM-C,ショート,10000,6.0,600.0,a級モンスター
2026/06/01,MELMB,LCM-A,点灯不良,10000,3.0,300.0,通常モンスター
2026/06/04,MELAC,LCM-E,はんだ不良,15000,4.0,266.7,通常モンスター
2026/06/03,ISE,LCM-D,コネクタ浮き,9000,2.0,222.2,通常モンスター
2026/06/02,GSE,LCM-C,ショート,12000,1.0,83.3,通常モンスター
2026/06/05,ISE,LCM-D,コネクタ浮き,8500,0.0,0.0,通常モンスター
