date,site,product,defect_type,production,defects,month,ppm,危険ランク
2026-05-08,GSE,Lamp-H,寸法NG,5000,11.0,2026-05,2200.0,s級
2026-05-04,GSE,Lamp-G,外観キズ,8000,2.0,2026-05,250.0,通常
2026-06-07,GSE,Lamp-H,寸法NG,5200,3.0,2026-06,576.9,通常
2026-06-03,GSE,Lamp-G,外観キズ,9000,,2026-06,,通常
2026-05-01,MELMB,Lamp-A,点灯不良,12000,18.0,2026-05,1500.0,a級
2026-05-03,MELMB,Lamp-B,外観キズ,8500,4.0,2026-05,470.6,通常
2026-06-01,MELMB,Lamp-A,点灯不良,11000,30.0,2026-06,2727.3,s級
2026-06-04,MELMB,Lamp-C,寸法NG,9000,8.0,2026-06,888.9,通常
2026-05-02,WSE,Lamp-D,異物混入,10000,25.0,2026-05,2500.0,s級
2026-05-05,WSE,Lamp-E,はんだ不良,7000,5.0,2026-05,714.3,通常
2026-06-06,WSE,Lamp-F,点灯不良,6000,18.0,2026-06,3000.0,s級
2026-06-02,WSE,Lamp-D,異物混入,9500,10.0,2026-06,1052.6,a級
