occ_month,site,model,defect_id,comment
2026-01,SUS,J69P,D-001,2026/01にKLAK-67890で1件発生。160V条件で確認。
2026-01,SUS,J69P,D-002,2026/01にLCM-220を確認。再発の可能性あり。
2026-01,WSE,310D,D-003,2026/01にCAN-330で1件発生。
2026-01,GSE,J69P,D-004,コメントのみ。対象品番の記載なし。
2026-01,MELMB,310D,D-005,KLEE-55555は継続確認中。
2026-02,SUS,J69P,D-006,KLAK-67890とLCM-220を確認。
2026-02,SUS,J69P,D-007,KLBC-12345で焼損痕あり。
2026-02,WSE,310D,D-008,温度85C条件でCAN-330の1件を確認。
2026-02,GSE,J69P,D-009,CAN-330で1件再発。12V条件で確認。
2026-02,MELMB,310D,D-010,現象再現せず。対象品番の記載なし。
2026-03,SUS,J69P,D-011,KLAK-67890で再発。160V条件で確認。
2026-03,WSE,310D,D-012,LCM-220で2件発生。140V検査では検出せず。
2026-03,WSE,310D,D-013,PY-110相当品で1件確認。
2026-03,GSE,J69P,D-014,CAN-330とKLAK-67890を同時に確認。
2026-03,MELMB,310D,D-015,コメントのみ。対象品番の記載なし。
2026-04,SUS,J69P,D-016,KLAK-67890を確認。
2026-04,SUS,J69P,D-017,Lot202604のみ記載。品番コード記載なし。
2026-04,WSE,310D,D-018,LCM-220とCAN-330を確認。
2026-04,GSE,J69P,D-019,CAN-330で1件再発。
2026-04,MELMB,310D,D-020,KLEE-55555とPY-110を確認。
2026-05,SUS,J69P,D-021,KLAK-67890で1件発生。
2026-05,WSE,310D,D-022,温度85C条件でCAN-330を確認。
2026-05,WSE,310D,D-023,コメントのみ。対象品番の記載なし。
2026-05,GSE,J69P,D-024,CAN-330とKLAK-67890を確認。
2026-05,MELMB,310D,D-025,PY-110相当品で1件確認。
2026-06,SUS,J69P,D-026,KLAK-67890とLCM-220を確認。
2026-06,SUS,J69P,D-027,コメントのみ。対象品番の記載なし。
2026-06,WSE,310D,D-028,LCM-220で1件発生。
2026-06,GSE,J69P,D-029,CAN-330を確認。
2026-06,MELMB,310D,D-030,KLEE-55555は継続確認中。
