site,model,defect_id,comment
SUS,J69P,D-001,2026/06/01にKLAK-67890で1件発生。160V条件で確認。
SUS,J69P,D-002,2026/06/03にKLAK-67890とLCM-220を確認。再発の可能性あり。
SUS,J69P,D-003,Buck-IC周辺を確認。KLBC-12345で焼損痕あり。
WSE,310D,D-004,2026/06/04にLCM-220で2件発生。140V検査では検出せず。
WSE,310D,D-005,温度85C条件でCAN-330の1件を確認。
GSE,J69P,D-006,2026/06/05にCAN-330で1件再発。12V条件で確認。
GSE,J69P,D-007,CAN-330とKLAK-67890を同時に確認。
MELMB,310D,D-008,現象再現せず。対象品番KLEE-55555は継続確認中。
MELMB,310D,D-009,PY-110相当品で1件確認。160V条件で確認。
MELMB,310D,D-010,コメントのみ。対象品番の記載なし。
