defect_id,site,customer,model,defect_category,defect_qty,occ_at,received_at,answered_at,cm_status
D001,SUS,Honda,J69P,Buck-IC,3,2026/07/01 09:15,2026/07/01 10:05,2026/07/03 17:30,回答済
D002,WSE,Honda,310D,Coil,1,2026-07-02 14:30:00,2026-07-02 15:10:00,2026-07-04 11:20:00,回答済
D003,GSE,Mitsubishi,310D,NTF,1,20260703 101500,20260703 113000,20260708 153000,回答済
D004,MELMB,Honda,J69P,Buck-IC,2,2026/07/05 08:40,2026/07/05 09:25,,調査中
D005,SUS,Mitsubishi,310D,Coil,4,2026-07-08 13:00:00,2026-07-08 14:00:00,2026-07-10 16:45:00,回答済
D006,WSE,Honda,J69P,NTF,1,20260710 091000,20260710 100500,20260712 120000,回答済
D007,GSE,Honda,310D,Buck-IC,5,2026/08/01 15:20,2026/08/01 16:00,2026/08/05 09:30,回答済
D008,MELMB,Mitsubishi,J69P,Coil,2,2026-08-03 11:10:00,2026-08-03 11:45:00,,調査中
D009,SUS,Honda,310D,Coil,3,20260805 083000,20260805 091500,20260807 174500,回答済
D010,WSE,Mitsubishi,310D,Buck-IC,2,2026/08/07 10:30,2026/08/07 11:10,2026/08/14 13:00,回答済
