defect_id,site,model,defect_category,defect_qty,inspection_qty,occ_at_jst,status
D001,SUS,J69P,Buck-IC,3,30000,2026-06-29 08:30:00+09:00,回答済
D002,WSE,310D,Coil,1,28000,2026-06-30 13:20:00+09:00,回答済
D003,GSE,36WA,NTF,1,24000,2026-07-01 09:10:00+09:00,調査中
D004,META,J69P,Buck-IC,2,52000,2026-07-03 21:45:00+09:00,回答済
D005,MEAX,310D,Coil,4,18000,2026-07-05 11:05:00+09:00,回答済
D006,MELAC,3BVT,NTF,1,16000,2026-07-06 07:40:00+09:00,回答済
D007,SUS,36WA,Buck-IC,5,31000,2026-07-07 17:20:00+09:00,調査中
D008,WSE,J69P,Coil,2,30000,2026-07-08 19:30:00+09:00,回答済
D009,GSE,310D,Coil,3,22000,2026-07-10 10:15:00+09:00,回答済
D010,META,36WA,Buck-IC,2,50000,2026-07-12 23:55:00+09:00,回答済
D011,MEAX,3BVT,NTF,1,19000,2026-07-13 06:25:00+09:00,回答済
D012,MELAC,J69P,Coil,3,17000,2026-07-14 14:00:00+09:00,調査中
D013,SUS,310D,Buck-IC,4,32000,2026-07-16 09:50:00+09:00,回答済
D014,WSE,36WA,Coil,1,29000,2026-07-18 18:10:00+09:00,回答済
D015,GSE,3BVT,NTF,1,23000,2026-07-19 12:35:00+09:00,回答済
D016,META,J69P,Buck-IC,3,51000,2026-07-20 08:15:00+09:00,回答済
D017,MEAX,310D,Coil,2,20000,2026-07-21 16:45:00+09:00,回答済
D018,MELAC,36WA,Buck-IC,2,18000,2026-07-23 20:30:00+09:00,調査中
D019,SUS,3BVT,NTF,1,33000,2026-07-25 09:05:00+09:00,回答済
D020,WSE,J69P,Coil,4,31000,2026-07-26 22:10:00+09:00,回答済
D021,GSE,310D,Buck-IC,2,24000,2026-07-27 07:55:00+09:00,回答済
D022,META,36WA,Coil,1,48000,2026-07-29 13:05:00+09:00,回答済
D023,MEAX,3BVT,NTF,1,21000,2026-07-31 10:20:00+09:00,回答済
D024,MELAC,J69P,Buck-IC,3,19000,2026-08-02 18:40:00+09:00,調査中
D025,SUS,310D,Coil,2,34000,2026-08-03 09:15:00+09:00,回答済
D026,WSE,36WA,Buck-IC,1,32000,2026-08-04 15:30:00+09:00,回答済
D027,GSE,3BVT,NTF,1,25000,2026-08-06 11:25:00+09:00,回答済
D028,META,J69P,Coil,2,53000,2026-08-08 20:55:00+09:00,回答済
D029,MEAX,310D,Buck-IC,3,22000,2026-08-09 07:35:00+09:00,回答済
D030,MELAC,36WA,Coil,1,20000,2026-08-10 17:10:00+09:00,回答済
D031,SUS,J69P,NTF,1,35000,,未回答
D032,WSE,310D,Coil,不明,31000,2026-08-11 08:00:00+09:00,調査中
D033,GSE,36WA,Buck-IC,2,,2026-08-12 12:30:00+09:00,回答済
D034,META,3BVT,NTF,1,50000,日付不正,未回答
