site,month,inspection_qty_raw,defect_qty_raw,ppm_raw,change_rate_raw
SUS,2026-06,1250000,8,6.400000,
SUS,2026-07,1320000,7,5.303030,-0.125000
SUS,2026-08,1410000,6,4.255319,-0.142857
SUS,2026-09,1480000,5,3.378378,-0.166667
GSE,2026-06,820000,6,7.317073,
GSE,2026-07,850000,5,5.882353,-0.166667
GSE,2026-08,900000,4,4.444444,-0.200000
GSE,2026-09,930000,4,4.301075,0.000000
MELMB,2026-06,980000,7,7.142857,
MELMB,2026-07,1020000,6,5.882353,-0.142857
MELMB,2026-08,未確認,5,4.761905,-0.166667
MELMB,2026-09,1120000,error,4.464286,-0.100000
META,2026-06,760000,5,6.578947,
META,2026-07,810000,4,確認中,-0.200000
META,2026-08,845000,4,4.733728,要確認
