イベント名,開催日,会場,参加者数
GAE (Go/Python) もくもく勉強会 in 横浜タネマキ vol.56,2018-08-19,タネマキ,6
【上級】論文輪読&実装会 強化学習 DQN 2018/8/19,2018-08-19,(株)HCI 本社工場 2F 会議室,10
人工知能を使ったリアルタイム物体検出でIoTを実践するハンズオン,2018-08-19,江東区産業会館,5
『Pythonによるクローラー＆スクレイピング入門』読書会 #01,2018-08-19,蕨市民会館（303会議室）,0
機械学習を始めるためのpythonデータ分析実践（機械学習モデル構築）,2018-08-19,スキルアップビデオテクノロジーズ,7
塩尻MLもくもく会 #07,2018-08-18,市民交流センターえんぱーく 2F 会議室203,7
Python機械学習勉強会in新潟Restart,2018-08-18,Prototype Cafe,25
PyCPA第3回勉強会,2018-08-18,colieto～コリエット～,8
【8月期 基礎数学シリーズ】機械学習・深層学習のための線形代数,2018-08-18,スキルアップビデオテクノロジーズ,0
【eLV】ICTを支える「考え方」シリーズ：S05-A物理学の考え方 (時空・ベクトル・テンソル編）,2018-08-18,株式会社CRE-CO,5
fin-pyもくもく会 #18,2018-08-18,株式会社インタートレード,14
第43回【フリースタイル】PORTもくもく会【学生歓迎！】,2018-08-18,ポート株式会社(住友不動産新宿グランドタワー12F),43
『Python言語によるプログラミング・イントロダクション 第2版』読書会 #23,2018-08-18,蕨市民会館（304会議室）,1
機械学習を始めるためのpythonライブラリ基礎（データ可視化）,2018-08-18,スキルアップビデオテクノロジーズ,4
Bitcoin Hackathon for Mobile Developers,2018-08-18,HashHub,40
PyData.Okinawa Meetup #36 OpenCVでとことん画像処理,2018-08-18,Startup Cafe Koza,16
夜活Python Webスクレイピング前編（0817） in 池袋,2018-08-17,池袋サンシャインシティ tully's coffee  アルパ店,3
[秋葉原] ゼロから作るDeep Learning2(自然言語処理編) 勉強会 復習&もくもく会,2018-08-17,コワーキングスペース秋葉原Weeyble,12
Reinforcement Learning Meetup #12,2018-08-17,株式会社SOU,11
[第13回] Django 2.0 で Webアプリケーション作る会,2018-08-17,アメリエフ株式会社,6
朝活Python 簡単スクレイピング（後編） in 秋葉原（秋葉原スクエア）,2018-08-17,【秋葉原/浅草橋】秋葉原スクエア403号室,12
夜活Python Webスクレイピング前編（0816） in 池袋,2018-08-16,池袋サンシャインシティ tully's coffee  アルパ店,5
量子化学計算集中合宿２！OpenFermion+Cirqを一日中触る,2018-08-16,MDR株式会社,19
朝活Python 簡単スクレイピング（前編） in 秋葉原（秋葉原スクエア）,2018-08-16,【秋葉原/浅草橋】秋葉原スクエア403号室,8
【神田に移転！】Pythonアルゴリズム勉強会,2018-08-15,株式会社Smart Trade,18
量子化学計算集中合宿１！OpenFermionを一日中触る,2018-08-15,MDR株式会社,20
朝活Python 基礎編(180815) in 秋葉原,2018-08-15,カフェ・ベローチェ 秋葉原駅前広場店,3
夜活Python 基礎編(0814) in 池袋,2018-08-14,池袋サンシャインシティ tully's coffee  アルパ店,2
プログラミング勉強部屋　8月14日（ほぼ毎週開催）,2018-08-14,Co-CreationLABO,11
朝活Python ファイル操作編（180814） in 秋葉原（秋葉原スクエア）,2018-08-14,【秋葉原/浅草橋】秋葉原スクエア403号室,5
プログラマー就職イベント！未経験からプログラマー就職するための極意全て教えます,2018-08-13,,1
朝活Python 入門編(180813) in 秋葉原,2018-08-13,カフェ・ベローチェ 秋葉原駅前広場店,1
【学生限定】ブロックチェーンアプリDapps開発勉強会,2018-08-12,新宿某所(後ほどお知らせします),0
機械学習を始めるためのpythonデータ分析実践（機械学習モデル構築）,2018-08-12,スキルアップビデオテクノロジーズ,14
機械学習を始めるためのpythonライブラリ基礎（データ可視化）,2018-08-12,スキルアップビデオテクノロジーズ,9
PythonBeginners 懇親会,2018-08-11,,9
機械学習を始めるためのPythonライブラリ基礎（行列計算、データフレーム処理）,2018-08-11,スキルアップビデオテクノロジーズ,11
【大阪】本当は誰にも教えたくない！？ 実践 Golang勉強会（8月開催）,2018-08-11,株式会社PE-BANK　関西支店,14
【機械学習】「仕事ではじめる機械学習」読書会,2018-08-11,合同会社ねこもり秋葉原オフィス,7
第9回 CoderDojo 福岡,2018-08-11,赤煉瓦文化館,3
第6回 CoderDojo Nada(灘)（深江会場）【忍者募集】,2018-08-11,深江会場（ニルキューブ）,3
第6回 CoderDojo Nada(灘)(深江会場)【メンター募集】,2018-08-11,深江会場（ニルキューブ）,2
PythonBeginner沖縄 (１年ぶり復活！「機械学習ビギナー向けコース」),2018-08-11,CODE BASE 2階 Pepperアトリエ,26
(第91回)Python mini Hack-a-thon,2018-08-11,ビープラウド会議室,20
機械学習を始めるためのPythonプログラミング入門,2018-08-11,スキルアップビデオテクノロジーズ,14
【少人数制】機械学習を身に付けたい人向けの個別フォローアップ #1,2018-08-10,水道橋駅周辺,3
|福岡 理学部> + |OpenQL> = 量子コンパイラ作る会（福岡 理学部 九限目）,2018-08-10,株式会社Fusic,16
【増席】RPA勉強＆LT会！RPALT vol4 with Tech Night！@ソフトバンク,2018-08-10,SoftBank汐留新館キャンパス,259
[第12回] Django 2.0 で Webアプリケーション作る会,2018-08-10,アメリエフ株式会社,5
夜活Python ライブラリ編（Numpy Pandas：後編） in 池袋,2018-08-09,池袋サンシャインシティ tully's coffee  アルパ店,1
エンジニア自習室＠銀座（テーマ自由、入退場自由、お菓子付き）,2018-08-09,株式会社ダイヤモンドファンタジー 2Fフリースペース,2
【Firebase特集】WEB+DB PRESS Vol.105をみんなで読む会 #3,2018-08-09,フロイデ株式会社,9
大阪で開催！データサイエンティストの仕事を疑似体験！未経験でも楽しめるハンズオンセミナー！,2018-08-09,仙台トラストシティプラザ5階　Room６,20
Python ボルダリング部 #117,2018-08-09,Rocky 新宿曙橋店,7
Osaka Mix Leap Study #21 - Server Side Kotlin,2018-08-09,ヤフー株式会社 大阪グランフロントオフィス,37
kubernetesもくもく会 in GEEKLAB.NAGANO,2018-08-09,ギークラボ長野,2
【大阪・梅田】WEB系言語もくもく会,2018-08-09,株式会社スポーツフィールド大阪オフィス,2
朝活Python ライブラリ編（Pandas） in 秋葉原(ブルックリン会議室),2018-08-09,秋葉原(ブルックリン会議室),5
機械学習 決定木・ランダムフォレスト ～プログラムなしではじめる入門講座～,2018-08-08,WakaLabo新宿,0
みんなのPython勉強会#38,2018-08-08,クリーク・アンド・リバー社,148
【大阪・梅田】WEB系言語もくもく会,2018-08-08,株式会社スポーツフィールド大阪オフィス,5
【神田に移転！】Pythonアルゴリズム勉強会,2018-08-08,株式会社Smart Trade,11
朝活Python ライブラリ編（Numpy） in 秋葉原(ブルックリン会議室),2018-08-08,秋葉原(ブルックリン会議室),4
夜活Python 入門編 in 池袋,2018-08-07,池袋サンシャインシティ tully's coffee  アルパ店,3
【サポーターズ勉強会】全部見せます、データサイエンティストの仕事,2018-08-07,渋谷スクエアA 11F,0
【広尾で開催】データサイエンティスト実践講座（初級編）,2018-08-07,株式会社データフォーシーズ　5Fセミナールーム,11
プログラミング勉強部屋　8月7日（ほぼ毎週開催）,2018-08-07,Co-CreationLABO,9
朝活Python 基礎編 in 秋葉原(ブルックリン会議室),2018-08-07,秋葉原(ブルックリン会議室),5
#pycamp 茨城 振り返りミーティング(オンライン),2018-08-06,,3
PyLadies Handbook 翻訳しNight 〜第4夜〜,2018-08-06,株式会社ビープラウド,4
Hackers:桑名（プログラミング勉強会・もくもく会）,2018-08-06,スタートアップ桑名2F,3
Pythonのもくもく会とボランティア　#10,2018-08-06,あいちベンチャーハウス,2
朝活Python 入門編 in 秋葉原,2018-08-06,カフェ・ベローチェ 秋葉原駅前広場店,5
第２回　CoderDojo北九州　in黒崎AGITE ※FB満員の為早めに締め切りをさせて頂きます。,2018-08-05,コワーキングスペースAGITE,2
Python3ではじめるシステムトレード入門　第16回連続セミナー　初心者大歓迎　午後の部,2018-08-05,金融財務研究会セミナールーム,0
なんでもLT大会 第2弾,2018-08-05,四ツ谷のレンタルスペース,23
ちゅら.ai もくもく会 #4,2018-08-05,ちゅらデータ株式会社,5
【初心者向け】【全4回】Python+Jupyterで学ぶ実践プログラミング #2,2018-08-05,水道橋付近,0
